rhoc,R,M,Lambda,I
7.713301865069347500e+14,1.350003250000029276e+01,1.650368053668204160e+00,2.341111088267786329e+02,2.112920141845509470e+00
7.853642938532662500e+14,1.346003270000028884e+01,1.671811937863617814e+00,2.115186582389410432e+02,2.141950419173603404e+00
7.993984011995980000e+14,1.343003285000028590e+01,1.692729501533069225e+00,1.914640293903785278e+02,2.169887723844605265e+00
8.134325085459296250e+14,1.339003305000028021e+01,1.712817799174642053e+00,1.739259897630564637e+02,2.196378511422816260e+00
8.274666158922612500e+14,1.335003325000027630e+01,1.732494165250703766e+00,1.581936272501768599e+02,2.221914901054354630e+00
8.415007232385930000e+14,1.332003340000027336e+01,1.751301356889604754e+00,1.443881025042818464e+02,2.245947047823691811e+00
8.555348305849246250e+14,1.328003360000026944e+01,1.769749309625838762e+00,1.319274172062509365e+02,2.269112849224231176e+00
8.695689379312562500e+14,1.324003380000026375e+01,1.787357324443991979e+00,1.209374530769278522e+02,2.290818292727456740e+00
8.836030452775878750e+14,1.320003400000025984e+01,1.804599614024886778e+00,1.109893317778466013e+02,2.311685681183419216e+00
8.976371526239196250e+14,1.317003415000025690e+01,1.821095871966588176e+00,1.021381815347907889e+02,2.331218115596346951e+00
9.116712599702512500e+14,1.313003435000025121e+01,1.837132244773918899e+00,9.414028678578813469e+01,2.349782984553813403e+00
9.257053673165828750e+14,1.309003455000024729e+01,1.852589385057469729e+00,8.694288415888497923e+01,2.367271880323876143e+00
9.397394746629146250e+14,1.305003475000024338e+01,1.867461304946160361e+00,8.046037818810003728e+01,2.383667955528384841e+00
9.537735820092462500e+14,1.302003490000024044e+01,1.881930259162686303e+00,7.454682915197214754e+01,2.399168847896450796e+00
9.678076893555778750e+14,1.298003510000023475e+01,1.895637453055531552e+00,6.926903585263897867e+01,2.413407599176304430e+00
9.818417967019095000e+14,1.294003530000023083e+01,1.909194798308200713e+00,6.436851112706943923e+01,2.427095330343974400e+00
9.958759040482412500e+14,1.290003550000022692e+01,1.921949815406501338e+00,6.001049494359195080e+01,2.439531963332575160e+00
1.009910011394572875e+15,1.287003565000022220e+01,1.934472082149951699e+00,5.595150931636687375e+01,2.451260383442964041e+00
1.023944118740904500e+15,1.283003585000021829e+01,1.946404643292990233e+00,5.229051514956478286e+01,2.462024505651740913e+00
1.037978226087236125e+15,1.279003605000021437e+01,1.957838058536800485e+00,4.895169527798418585e+01,2.471852191392317710e+00
1.052012333433567875e+15,1.275003625000020868e+01,1.969001802466630036e+00,4.584858137994309146e+01,2.481046086271611273e+00
1.066046440779899500e+15,1.272003640000020575e+01,1.979488518413907272e+00,4.306293720015546711e+01,2.489214575669314033e+00
1.080080548126231125e+15,1.268003660000020183e+01,1.989828269611608524e+00,4.043937284740719917e+01,2.496825609028893389e+00
1.094114655472562750e+15,1.264003680000019791e+01,1.999615224386029011e+00,3.805601173450268959e+01,2.503548167219377341e+00
1.108148762818894500e+15,1.261003695000019320e+01,2.008940046217244646e+00,3.587130916802880876e+01,2.509482833389374168e+00
1.122182870165226125e+15,1.257003715000018929e+01,2.018092825907639387e+00,3.382146373064513512e+01,2.514922325635775113e+00
1.136216977511557750e+15,1.253003735000018537e+01,2.026659537706128056e+00,3.195638474742431256e+01,2.519464771741960263e+00
1.150251084857889500e+15,1.250003750000018243e+01,2.034980415710815560e+00,3.021331223024856172e+01,2.523471147771242595e+00
1.164285192204221000e+15,1.246003770000017674e+01,2.042954799849779679e+00,2.859357134997638639e+01,2.526789612367784432e+00
1.178319299550552750e+15,1.242003790000017283e+01,2.050449729018922085e+00,2.712024675886505420e+01,2.529497246514591957e+00
1.192353406896884500e+15,1.239003805000016989e+01,2.057771871380812634e+00,2.571494732685232876e+01,2.531585191593024753e+00
